imgs,time_s,bytes,mb
5,16.890505075454712,73571736,70.1634750366211
10,28.013638019561768,60601631,57.79421901702881
15,29.866991758346558,90365850,86.17959022521973
20,37.425373554229736,120331889,114.75743198394775
25,50.07685399055481,150152206,143.19630241394043
30,61.325018644332886,180069096,171.7272720336914
35,69.98462152481079,210067451,200.33593273162842
40,78.59408926963806,239856893,228.74535846710205
45,91.27367949485779,269747771,257.25152111053467
50,101.76722168922424,299625720,285.74535369873047
55,109.61790943145752,329533055,314.2672109603882
60,118.74326157569885,359451064,342.7992477416992
65,131.52097845077515,389305769,371.2709131240845
70,136.31355142593384,419199248,399.77955627441406
75,146.2159140110016,449098347,428.29355907440186
80,155.60270810127258,479110008,456.91490936279297
85,165.9116508960724,508869809,485.296067237854
90,175.54774022102356,538761155,513.8026762008667
95,186.3904674053192,568764376,542.4159774780273
100,193.45365619659424,598555316,570.826831817627
105,205.2823886871338,628445658,599.332483291626
110,213.97610545158386,658329564,627.8319969177246
115,222.96489644050598,688322948,656.4359169006348
120,227.69729375839233,718109944,684.8430099487305
125,240.94716596603394,747995541,713.3441362380981
130,249.61664581298828,777986190,741.9454479217529
135,257.94178915023804,807785256,770.3640518188477
140,267.0154151916504,837769187,798.9589567184448
145,276.7393128871918,867569509,827.378758430481
150,287.2030813694,897454426,855.8792362213135
